,before_mean,before_std_ddof0,after_mean,after_std_ddof0
Volume,5.066666666666666,4.226897995772629,6.118562446823085e-17,1.0
Avg Price,10453.433333333332,18059.804883928166,3.157967714489334e-17,0.9999999999999999
Total Sales Value,33812.83555555555,50478.892860940316,1.578983857244667e-17,1.0
Discount Rate (%),15.155241895330914,4.215909987168583,-3.552713678800501e-17,1.0
Discount Amount,3346.499424342415,4504.889173073149,-5.5264435003563346e-17,1.0
Net Sales Value,30466.336131270138,46307.118357300766,1.973729821555834e-17,1.0
