,count,mean,std,min,25%,50%,75%,max,median,skewness,mode
Volume,450.0,5.066666666666666,4.231602391213923,1.0,3.0,4.0,6.0,31.0,4.0,2.731723626557714,3
Avg Price,450.0,10453.433333333332,18079.90483993647,290.0,465.0,1450.0,10100.0,60100.0,1450.0,1.9088730767759727,"400, 450, 500, 1300, 8100"
Total Sales Value,450.0,33812.83555555555,50535.07417255325,400.0,2700.0,5700.0,53200.0,196400.0,5700.0,1.5347293238977937,24300
Discount Rate (%),450.0,15.155241895330914,4.22060215332551,5.007822189204133,13.965062543701741,16.57776564929597,18.114718477752703,19.99240704193018,16.57776564929597,-1.0622943696988825,No repeated value
Discount Amount,450.0,3346.499424342415,4509.902963353998,69.17794228822787,460.4593038855329,988.9337332382784,5316.4954266866525,25738.02219375868,988.9337332382784,1.9130377339538271,No repeated value
Net Sales Value,450.0,30466.336131270138,46358.65662406695,326.97480055470817,2202.2086453212287,4677.788059301853,47847.91285159138,179507.47904902254,4677.788059301853,1.5408217575344376,No repeated value
