variable,Q1,Q3,IQR,lower_fence,upper_fence,flagged_count
Volume,3.0,6.0,3.0,-1.5,10.5,44
Avg Price,465.0,10100.0,9635.0,-13987.5,24552.5,60
Total Sales Value,2700.0,53200.0,50500.0,-73050.0,128950.0,36
Discount Rate (%),13.965062543701741,18.114718477752703,4.149655934050962,7.740578642625298,24.339202378829146,45
Discount Amount,460.4593038855329,5316.4954266866525,4856.03612280112,-6823.594880316146,12600.54961088833,24
Net Sales Value,2202.2086453212287,47847.91285159138,45645.70420627015,-66266.347664084,116316.46916099661,35
